,0
0,"Sobre Maceio: As históricas casas em tons pastéis dão a Maceió uma cor alegre. No movimentado centro, você encontra praias dignas de um cartão postal. Os surfistas aproveitam o mar da região e fazem viagens de fim de semana para piscinas naturais ao largo da costa, enquanto os pescadores garantem mesas repletas de frutos do mar frescos."
1,As 10 melhores atrações: 
2,['1. Praia de Ipioca']
3,['2. Praia de Pajuçara']
4,['3. Praia de Ponta Verde']
5,['4. Piscinas Naturais de Pajucara']
6,['5. Praia do Carro Quebrado']
7,['6. Praia do Gunga']
8,['7. Hibiscus Beach Club']
9,['8. Praia de Jatiúca']
10,['9. Feira de Artesanato da Pajuçara']
11,['10. Parque Shopping Maceió']
